Referrer URL,Tag Name,Logo,,,,,,,
www.fortmorgantimes.com/,fortmorgantimes.com,http://local.fortmorgantimes.com//assets/logo-large.png,,,,,,,"www.fortmorgantimes.com/,fortmorgantimes.com,http://local.fortmorgantimes.com/assets/logo-large.png"
www.ukiahdailyjournal.com/,ukiahdailyjournal.com,http://local.ukiahdailyjournal.com//assets/logo-large.png,,,,,,,"www.ukiahdailyjournal.com/,ukiahdailyjournal.com,http://local.ukiahdailyjournal.com/assets/logo-large.png"
www.Macombdaily.com,macombdaily,http://local.Macombdaily.com/assets/logo-large.png,,,,,,,"www.Macombdaily.com,macombdaily,http://local.Macombdaily.com/assets/logo-large.png"
http://www.minnmoms.com,twincities.com (linked back to twincities),http://local.http://minnmoms.com/assets/logo-large.png,,,,,,,"http://www.minnmoms.com,twincities.com (linked back to twincities),http://local.http://minnmoms.com/assets/logo-large.png"
www.Morningjournal.com,morningjournal,http://local.Morningjournal.com/assets/logo-large.png,,,,,,,"www.Morningjournal.com,morningjournal,http://local.Morningjournal.com/assets/logo-large.png"
www.nhregister.com,nhregister,http://local.nhregister.com/assets/logo-large.png,,,,,,,"www.nhregister.com,nhregister,http://local.nhregister.com/assets/logo-large.png"
www.news-herald.com,news-herald,http://local.news-herald.com/assets/logo-large.png,,,,,,,"www.news-herald.com,news-herald,http://local.news-herald.com/assets/logo-large.png"
www.registercitizen.com,registercitizen,http://local.registercitizen.com/assets/logo-large.png,,,,,,,"www.registercitizen.com,registercitizen,http://local.registercitizen.com/assets/logo-large.png"
middletownpress.com,middletownpress,http://local.middletownpress.com/assets/logo-large.png,,,,,,,"middletownpress.com,middletownpress,http://local.middletownpress.com/assets/logo-large.png"
www.Themorningsun.com,themorningsun,http://local.Themorningsun.com/assets/logo-large.png,,,,,,,"www.Themorningsun.com,themorningsun,http://local.Themorningsun.com/assets/logo-large.png"
www.Theoaklandpress.com,theoaklandpress,http://local.Theoaklandpress.com/assets/logo-large.png,,,,,,,"www.Theoaklandpress.com,theoaklandpress,http://local.Theoaklandpress.com/assets/logo-large.png"
Thereporteronline.com,thereporteronline,http://local.Thereporteronline.com/assets/logo-large.png,,,,,,,"Thereporteronline.com,thereporteronline,http://local.Thereporteronline.com/assets/logo-large.png"
Timesherald.com,timesherald,http://local.Timesherald.com/assets/logo-large.png,,,,,,,"Timesherald.com,timesherald,http://local.Timesherald.com/assets/logo-large.png"
www.Trentonian.com,trentonian,http://local.Trentonian.com/assets/logo-large.png,,,,,,,"www.Trentonian.com,trentonian,http://local.Trentonian.com/assets/logo-large.png"
www.Dailyfreeman.com,dailyfreeman/,http://local.Dailyfreeman.com/assets/logo-large.png,,,,,,,"www.Dailyfreeman.com,dailyfreeman/,http://local.Dailyfreeman.com/assets/logo-large.png"
Dailylocal.com,dailylocal,http://local.Dailylocal.com/assets/logo-large.png,,,,,,,"Dailylocal.com,dailylocal,http://local.Dailylocal.com/assets/logo-large.png"
Delcotimes.com,delcotimes,http://local.Delcotimes.com/assets/logo-large.png,,,,,,,"Delcotimes.com,delcotimes,http://local.Delcotimes.com/assets/logo-large.png"
www.Oneidadispatch.com,oneidadispatch/,http://local.Oneidadispatch.com/assets/logo-large.png,,,,,,,"www.Oneidadispatch.com,oneidadispatch/,http://local.Oneidadispatch.com/assets/logo-large.png"
www.Troyrecord.com,troyrecord,http://local.Troyrecord.com/assets/logo-large.png,,,,,,,"www.Troyrecord.com,troyrecord,http://local.Troyrecord.com/assets/logo-large.png"
www.Saratogian.com,saratogian,http://local.Saratogian.com/assets/logo-large.png,,,,,,,"www.Saratogian.com,saratogian,http://local.Saratogian.com/assets/logo-large.png"
Pottsmerc.com,oneidadispatch/,http://local.Pottsmerc.com/assets/logo-large.png,,,,,,,"Pottsmerc.com,oneidadispatch/,http://local.Pottsmerc.com/assets/logo-large.png"
